,date,Italy,US,Spain,Germany,"Korea, South",Italy_fitted,US_fitted,Spain_fitted,Germany_fitted,"Korea, South_fitted"
0,2020-02-26,453,57,13,27,1261,453.0,57.0,13.0,27.0,1261.0
1,2020-02-27,655,58,15,46,1766,531.9197858858945,68.1869000032302,16.465687160883224,33.44988709032755,1369.7605622294063
2,2020-02-28,888,60,32,48,2337,624.5598790728784,81.56466537010829,20.85524042835751,41.44031134582368,1487.2102109511316
3,2020-02-29,1128,68,45,79,3150,733.2946878437541,97.56033767003757,26.41490583045831,51.33909632955514,1613.9165110110205
4,2020-03-01,1694,74,84,130,3736,860.9053745424079,116.68332555828992,33.456543030309156,63.60181905878739,1750.460580853975
5,2020-03-02,2036,98,120,159,4335,1010.6480468765632,139.54091627646935,42.37509569428023,78.7927079978568,1897.4325147696882
6,2020-03-03,2502,118,165,196,5186,1186.3326575928916,166.85654381504023,53.67070773018044,97.61050071694363,2055.425652159849
7,2020-03-04,3089,149,222,262,5621,1392.4142727385272,199.4912388666519,67.97671205441145,120.92042100420376,2225.029608478309
8,2020-03-05,3858,217,259,482,6088,1634.0982342623997,238.46870055647997,86.09504889599633,149.7937139826366,2406.821851631714
9,2020-03-06,4636,262,400,670,6593,1917.4609201128742,285.0044672548516,109.04107109520437,185.556497662151,2601.357755476
10,2020-03-07,5883,402,500,799,7041,2249.587817216057,340.5396367706139,138.1002055243734,229.8500868215511,2809.1589681622913
11,2020-03-08,7375,518,673,1040,7314,2638.7305422082727,406.7795441011512,174.8995816011046,284.70542820405086,3030.700014780888
12,2020-03-09,9172,583,1073,1176,7478,3094.484288084545,485.73768895863105,221.49852691768388,352.63485363000905,3266.393104719637
13,2020-03-10,10149,959,1695,1457,7513,3627.986736361178,579.7849850947367,280.5028287130592,436.74504615651836,3516.5709355419385
14,2020-03-11,12462,1281,2277,1908,7755,4252.13883841295,691.7040607258396,355.20887400243726,540.8759045010203,3781.4679285913244
15,2020-03-12,12462,1663,2277,2078,7869,4981.846795256023,824.7477792568295,449.7852890311072,669.7709249431975,4061.1996192241986
16,2020-03-13,17660,2179,5232,3675,7979,5834.282938715999,982.7003239412513,569.5015121065763,829.285747397757,4355.74063284192
17,2020-03-14,21157,2727,6391,4585,8086,6829.160988444659,1169.9379929658958,721.0149234732551,1026.642647289479,4664.901568329403
18,2020-03-15,24747,3499,7798,5795,8162,7989.017878709505,1391.4851823745823,912.7307147541942,1270.7399129584928,4988.3052556334105
19,2020-03-16,27980,4632,9942,7272,8236,9339.489992414097,1653.058677065021,1155.2516235934322,1572.5261617030433,5325.36291900409
20,2020-03-17,31506,6421,11748,9257,8320,10909.565823567998,1961.0905295218367,1461.9378889662944,1945.4503958110135,5675.251222491291
21,2020-03-18,35713,7783,13910,12327,8413,12731.789576870202,2322.715783367179,1849.6010553635042,2405.9989071697223,6036.8909218475
22,2020-03-19,41035,13747,17963,15320,8565,14842.380830512555,2745.7069347276943,2339.3582887100724,2974.3292161351933,6408.928295762525
23,2020-03-20,47021,19273,20410,19848,8652,17281.22406691999,3238.3317949766397,2957.675693212782,3675.008487758314,6789.72053262844
24,2020-03-21,53578,25600,25374,22213,8799,20091.66887714524,3809.1063963491456,3737.6286319456285,4537.8580758121325,7177.326353580817
25,2020-03-22,59138,33276,28768,24873,8961,23320.067690753844,4466.410654029343,4720.402031058786,5598.895339586953,7569.503177491524
26,2020-03-23,63927,43843,35136,29056,8961,27014.96443656589,5217.933439110138,5957.040707223335,6901.346316313412,7963.71210811145
27,2020-03-24,69176,53736,39885,32986,9037,31225.83709494287,6069.91820762531,7510.433914075595,8496.675221298477,8357.131897766101
28,2020-03-25,74386,65778,49515,37323,9137,36001.29345389199,7026.193873264314,9457.47217107467,10445.534979703652,8746.682744807164
29,2020-03-26,80589,83836,57786,43938,9241,41386.62778249488,8087.0019957650775,11891.237895725251,12818.484378816369,9129.060583677368
30,2020-03-27,86498,101657,65719,50871,9332,47420.673130530275,9247.673197594766,14922.972283632984,15696.235563416047,9500.782025794902
31,2020-03-28,92472,121465,73235,57695,9478,54131.9356985748,10497.264285394092,18683.385973380937,19169.094487773637,9858.239613480919
32,2020-03-29,97689,140909,80110,62095,9583,61534.08800210053,11817.336830184293,23322.64043808271,23335.137435919954,10197.766490009433
